id,Team_or_Opponent,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,team_id,season_id
7,team,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,24,2
8,team,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335,27,2
9,team,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287,29,2
10,team,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299,34,2
11,team,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295,100,2
12,team,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311,99,2
13,team,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311,54,2
14,team,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309,67,2
15,team,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321,70,2
16,team,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313,71,2
17,team,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352,72,2
18,team,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305,80,2
19,team,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289,91,2
20,team,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396,93,2
21,opponent,19908,17714,2105,567,77,202,789,962,231,50,110,3,15404,89,322,102,2
22,opponent,18950,16909,1974,551,29,332,754,859,161,68,54,1,14696,67,340,6,2
23,opponent,18803,16917,1850,529,32,209,601,729,149,67,64,1,14882,36,316,7,2
24,opponent,13908,12019,1811,571,39,128,500,644,128,52,52,1,10460,78,301,10,2
25,opponent,16934,14870,1935,530,43,168,764,808,215,96,80,2,13052,129,323,12,2
26,opponent,16708,14678,1995,562,22,184,609,925,146,56,57,0,12362,35,394,19,2
27,opponent,20783,18843,1877,515,50,183,750,806,176,60,76,3,16729,63,337,24,2
28,opponent,18212,16269,1839,547,78,195,767,775,195,74,74,0,14329,104,279,27,2
