id,Team_or_Opponent,SCA_SCA,SCA90_SCA,PassLive_SCA_Types,PassDead_SCA_Types,TO_SCA_Types,Sh_SCA_Types,Fld_SCA_Types,Def_SCA_Types,GCA_GCA,GCA90_GCA,PassLive_GCA_Types,PassDead_GCA_Types,TO_GCA_Types,Sh_GCA_Types,Fld_GCA_Types,Def_GCA_Types,team_id,season_id
28,opponent,598,15.74,425,57,38,39,30,9,91,2.39,72,1,10,5,3,0,101,1
28,opponent,598,15.74,425,57,38,39,30,9,91,2.39,72,1,10,5,3,0,101,-2
29,opponent,849,22.34,624,72,55,30,56,12,98,2.58,70,8,8,7,5,0,27,1
29,opponent,849,22.34,624,72,55,30,56,12,98,2.58,70,8,8,7,5,0,27,-2
30,opponent,550,14.47,381,68,30,22,45,4,67,1.76,47,6,3,3,8,0,34,1
30,opponent,550,14.47,381,68,30,22,45,4,67,1.76,47,6,3,3,8,0,34,-2
31,opponent,844,22.21,604,76,44,61,51,8,109,2.87,80,5,8,10,6,0,100,1
31,opponent,844,22.21,604,76,44,61,51,8,109,2.87,80,5,8,10,6,0,100,-2
32,opponent,757,19.92,528,80,54,38,49,8,87,2.29,56,7,8,10,6,0,103,1
32,opponent,757,19.92,528,80,54,38,49,8,87,2.29,56,7,8,10,6,0,103,-2
33,opponent,804,21.16,574,79,46,43,40,22,94,2.47,69,7,6,4,4,4,99,1
33,opponent,804,21.16,574,79,46,43,40,22,94,2.47,69,7,6,4,4,4,99,-2
34,opponent,787,20.71,623,51,36,34,42,1,84,2.21,63,5,4,6,6,0,67,1
34,opponent,787,20.71,623,51,36,34,42,1,84,2.21,63,5,4,6,6,0,67,-2
35,opponent,618,16.26,465,41,38,24,35,15,44,1.16,28,6,2,2,5,1,71,1
35,opponent,618,16.26,465,41,38,24,35,15,44,1.16,28,6,2,2,5,1,71,-2
36,opponent,583,15.34,401,66,32,31,44,9,63,1.66,42,5,5,6,4,1,72,1
36,opponent,583,15.34,401,66,32,31,44,9,63,1.66,42,5,5,6,4,1,72,-2
37,opponent,599,15.76,411,63,37,38,47,3,51,1.34,33,6,2,5,5,0,80,1
37,opponent,599,15.76,411,63,37,38,47,3,51,1.34,33,6,2,5,5,0,80,-2
38,opponent,959,25.24,688,84,60,65,50,12,80,2.11,50,5,7,10,6,2,91,1
38,opponent,959,25.24,688,84,60,65,50,12,80,2.11,50,5,7,10,6,2,91,-2
39,opponent,815,21.45,584,90,47,38,47,9,94,2.47,65,5,9,7,6,2,92,1
39,opponent,815,21.45,584,90,47,38,47,9,94,2.47,65,5,9,7,6,2,92,-2
40,opponent,696,18.32,520,51,38,32,41,14,67,1.76,41,8,5,5,6,2,93,1
40,opponent,696,18.32,520,51,38,32,41,14,67,1.76,41,8,5,5,6,2,93,-2
