id,Team_or_Opponent,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxGPlus_Minus_Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att (GK)_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal_Kicks,Launch_percent_Goal_Kicks,AvgLen_Goal_Kicks,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,team_id,season_id,Mins_Per_90
30,opponent,28,3,0,0,1,27.7,0.22,0.7,0.02,291,696,41.8,1026,173,48.5,39.6,300,66.0,49.5,606,25,4.1,51,1.34,17.0,34,1,38.0
30,opponent,28,3,0,0,1,27.7,0.22,0.7,0.02,291,696,41.8,1026,173,48.5,39.6,300,66.0,49.5,606,25,4.1,51,1.34,17.0,34,-2,38.0
31,opponent,47,3,1,7,0,44.0,0.33,-3.0,-0.08,230,564,40.8,910,151,43.2,36.9,272,62.9,48.2,470,22,4.7,37,0.97,15.2,100,1,38.0
31,opponent,47,3,1,7,0,44.0,0.33,-3.0,-0.08,230,564,40.8,910,151,43.2,36.9,272,62.9,48.2,470,22,4.7,37,0.97,15.2,100,-2,38.0
32,opponent,34,3,0,4,2,36.6,0.26,4.6,0.12,221,581,38.0,903,169,42.6,37.1,295,66.4,50.4,624,19,3.0,47,1.24,16.5,103,1,38.0
32,opponent,34,3,0,4,2,36.6,0.26,4.6,0.12,221,581,38.0,903,169,42.6,37.1,295,66.4,50.4,624,19,3.0,47,1.24,16.5,103,-2,38.0
33,opponent,46,3,0,5,1,40.1,0.27,-4.9,-0.13,283,695,40.7,920,146,51.8,40.3,295,73.9,54.4,506,17,3.4,53,1.39,17.2,99,1,38.0
33,opponent,46,3,0,5,1,40.1,0.27,-4.9,-0.13,283,695,40.7,920,146,51.8,40.3,295,73.9,54.4,506,17,3.4,53,1.39,17.2,99,-2,38.0
34,opponent,37,5,0,2,1,34.6,0.25,-1.4,-0.04,193,643,30.0,980,149,45.7,37.2,315,61.9,45.8,544,13,2.4,41,1.08,16.2,67,1,38.0
34,opponent,37,5,0,2,1,34.6,0.25,-1.4,-0.04,193,643,30.0,980,149,45.7,37.2,315,61.9,45.8,544,13,2.4,41,1.08,16.2,67,-2,38.0
35,opponent,67,3,1,8,3,53.1,0.3,-10.9,-0.29,290,691,42.0,942,157,45.9,38.0,354,73.2,50.7,562,20,3.6,37,0.97,14.3,71,1,38.0
35,opponent,67,3,1,8,3,53.1,0.3,-10.9,-0.29,290,691,42.0,942,157,45.9,38.0,354,73.2,50.7,562,20,3.6,37,0.97,14.3,71,-2,38.0
36,opponent,59,9,2,8,1,53.5,0.3,-4.5,-0.12,295,744,39.7,1016,132,51.4,39.8,288,77.1,53.4,523,15,2.9,36,0.95,14.0,72,1,38.0
36,opponent,59,9,2,8,1,53.5,0.3,-4.5,-0.12,295,744,39.7,1016,132,51.4,39.8,288,77.1,53.4,523,15,2.9,36,0.95,14.0,72,-2,38.0
37,opponent,53,6,0,5,1,46.7,0.28,-5.3,-0.14,284,693,41.0,911,127,50.2,39.7,347,68.0,49.3,551,10,1.8,57,1.5,19.1,80,1,38.0
37,opponent,53,6,0,5,1,46.7,0.28,-5.3,-0.14,284,693,41.0,911,127,50.2,39.7,347,68.0,49.3,551,10,1.8,57,1.5,19.1,80,-2,38.0
38,opponent,50,8,1,6,2,45.4,0.27,-2.6,-0.07,222,584,38.0,833,135,48.1,38.9,262,69.8,49.9,462,19,4.1,38,1.0,15.8,91,1,38.0
38,opponent,50,8,1,6,2,45.4,0.27,-2.6,-0.07,222,584,38.0,833,135,48.1,38.9,262,69.8,49.9,462,19,4.1,38,1.0,15.8,91,-2,38.0
39,opponent,34,7,0,4,0,38.1,0.26,4.1,0.11,262,603,43.4,902,137,46.1,38.4,284,65.8,50.2,556,23,4.1,43,1.13,15.1,92,1,38.0
39,opponent,34,7,0,4,0,38.1,0.26,4.1,0.11,262,603,43.4,902,137,46.1,38.4,284,65.8,50.2,556,23,4.1,43,1.13,15.1,92,-2,38.0
40,opponent,60,12,1,3,3,63.1,0.32,6.1,0.16,232,601,38.6,972,143,44.1,37.5,255,67.5,48.6,420,16,3.8,61,1.61,17.3,93,1,38.0
40,opponent,60,12,1,3,3,63.1,0.32,6.1,0.16,232,601,38.6,972,143,44.1,37.5,255,67.5,48.6,420,16,3.8,61,1.61,17.3,93,-2,38.0
